GEOID_FIN,federal_transfers_real_2017,POPULATION,ID_NAME,STATE_FIPS,COUNTY_FIPS,tax_revenue_real_2017,B_B01,B_B21,B_B30,B_B42,B_B46,B_B50,B_B59,B_B79,B_B80,B_B89,T_T01,T_T09,T_T10,T_T11,T_T13,T_T16,T_T19,T_T20,T_T21,T_T22,T_T27,T_T28,T_T29,YEAR,decade,federal_transfers_pc,tax_revenue_pc,log_transfers_pc,log_tax_pc
0282860,20000.0,149.0,WALES CITY,02,180,21000.0,,,11000.0,,,,,,,9000.0,,21000.0,,,,,,,,,,,,2017,2010,134.2281879194631,140.93959731543623,4.899541246590669,4.948331410760101
0284070,39000.0,196.0,WHITE MOUNTAIN CITY,02,180,16000.0,,,14000.0,,,,,,,25000.0,,16000.0,,,,,,,,,,,,2017,2010,198.9795918367347,81.63265306122449,5.293202265881266,4.402229341991401
0284510,34000.0,214.0,WHITTIER CITY,02,063,1619000.0,,,,,34000.0,,,,,,638000.0,582000.0,,,,,395000.0,,,,,4000.0,,2017,2010,158.8785046728972,7565.420560747663,5.068139788576447,8.93134321763792
0286380,1967000.0,2382.0,WRANGELL CITY AND BOROUGH,02,275,4463000.0,,1081000.0,435000.0,451000.0,,,,,,,1723000.0,2643000.0,,,,,94000.0,,,,,,3000.0,2017,2010,825.776658270361,1873.6356003358521,6.71632434745595,7.535635993696162
0404720,1085000.0,80684.0,AVONDALE CITY,04,013,53352000.0,,,,,,1085000.0,,,,,6766000.0,45225000.0,,,,,,,,,,,1361000.0,2017,2010,13.447523672599276,661.2463437608448,2.5987949755354736,6.494126453873056
0405770,364000.0,4888.0,BENSON CITY,04,003,4051000.0,364000.0,,,,,,,,,,236000.0,3682000.0,,,,,72000.0,,,,,20000.0,41000.0,2017,2010,74.46808510638297,828.7643207855974,4.310370645767446,6.719935821333396
0407940,582000.0,62138.0,BUCKEYE TOWN,04,013,42078000.0,44000.0,,,,,55000.0,,,,483000.0,6001000.0,26356000.0,,,,,,,,,,79000.0,9642000.0,2017,2010,9.366249316038495,677.1701696224533,2.237112729672331,6.517922599705859
0409690,53000.0,11155.0,CAMP VERDE TOWN,04,025,2699000.0,,,,,,53000.0,,,,,334000.0,2208000.0,,,,,,,,,,,157000.0,2017,2010,4.7512326311071265,241.95428059166292,1.558404085667626,5.488748785133509
0410530,1790000.0,51460.0,CASA GRANDE CITY,04,021,32574000.0,,,,,,461000.0,,,,1329000.0,7447000.0,23646000.0,,,,,214000.0,,,,,,1267000.0,2017,2010,34.78429848425962,632.9965021375826,3.5491660919812027,6.450464896279908
0412000,7724000.0,260828.0,CHANDLER CITY,04,013,175384000.0,,,,,,7620000.0,,,,104000.0,29693000.0,120200000.0,,,,,3424000.0,665000.0,,,,9000.0,21393000.0,2017,2010,29.61338506602052,672.4124710537212,3.3882264572956,6.510871948438196
0416410,1863000.0,11818.0,COTTONWOOD CITY,04,025,14478000.0,975000.0,,,,,37000.0,,,,851000.0,,14198000.0,,,,,,,,,,89000.0,191000.0,2017,2010,157.6408867828736,1225.08038585209,5.060319577678106,7.110761741929604
0419145,360000.0,3988.0,DEWEY-HUMBOLDT TOWN,04,025,668000.0,,,,,,300000.0,,,,60000.0,,544000.0,,,,,,,,,,,124000.0,2017,2010,90.27081243731193,167.5025075225677,4.502814179350564,5.120998321437054
0420050,627000.0,16592.0,DOUGLAS CITY,04,003,8341000.0,,,,,,627000.0,,,,,7396000.0,696000.0,,,,,,,,,,,249000.0,2017,2010,37.78929604628737,502.7121504339441,3.632025889145749,6.22001774075444
0422360,438000.0,17059.0,ELOY CITY,04,021,8239000.0,,,,,,438000.0,,,,,1105000.0,6629000.0,,,,,,,,,,,505000.0,2017,2010,25.675596459346973,482.9708658186295,3.245540986678064,6.179956332617207
0423620,5078000.0,70320.0,FLAGSTAFF CITY,04,005,75118000.0,114000.0,,,,,4964000.0,,,,,12015000.0,51220000.0,,,,,8542000.0,,,,,,3341000.0,2017,2010,72.2127417519909,1068.230944254835,4.2796165088877025,6.973759236082639
0423760,26000.0,31110.0,FLORENCE TOWN,04,021,6771000.0,,,,,,26000.0,,,,,2128000.0,4051000.0,,,,,,,,,,48000.0,544000.0,2017,2010,0.8357441337190614,217.64705882352942,-0.17943277288806359,5.3828747545760995
0427400,1114000.0,247542.0,GILBERT TOWN,04,013,160894000.0,,,,,,712000.0,,,,402000.0,23707000.0,82980000.0,,,,,,188000.0,,,,125000.0,53894000.0,2017,2010,4.500246422829258,649.966470336347,1.5041321559056895,6.47692077746125
0427820,10987000.0,240126.0,GLENDALE CITY,04,013,200189000.0,,,,,,10987000.0,,,,,25991000.0,159139000.0,,,,,795000.0,,,,,,14264000.0,2017,2010,45.75514521542857,833.6831496797514,3.8233042491231743,6.725853413721071
0428030,159000.0,7396.0,GLOBE CITY,04,007,5838000.0,,,,,,159000.0,,,,,690000.0,4408000.0,,,,,139000.0,,,,,601000.0,,2017,2010,21.498107084910764,789.3455922120065,3.067964888695353,6.671204237889182
0430270,365000.0,6177.0,GUADALUPE TOWN,04,013,2444000.0,,,,,,217000.0,,,,148000.0,,1992000.0,,,,,401000.0,6000.0,,,,16000.0,29000.0,2017,2010,59.09017322324753,395.6613242674437,4.079064636868729,5.980558603577724
0432020,56000.0,650.0,HAYDEN TOWN,04,007,103000.0,,,,,,47000.0,,,,9000.0,,84000.0,,,,,,,,,,,19000.0,2017,2010,86.15384615384616,158.46153846153845,4.456134606827604,5.06551190432209
0434120,66000.0,1755.0,HUACHUCA CITY TOWN,04,003,1414000.0,30000.0,,,,,6000.0,,,,30000.0,70000.0,1262000.0,,,,,36000.0,3000.0,,,,5000.0,38000.0,2017,2010,37.60683760683761,805.6980056980057,3.6271858851085965,6.6917089895386885
0436290,2000.0,456.0,JEROME TOWN,04,025,86000.0,,,,,,2000.0,,,,,10000.0,71000.0,,,,,,,,,,,5000.0,2017,2010,4.385964912280702,188.59649122807016,1.4784096500276964,5.239609765721259
0437620,656000.0,28912.0,KINGMAN CITY,04,015,18475000.0,,,,,,,,,,656000.0,,15934000.0,,,,,1773000.0,,,,,112000.0,656000.0,2017,2010,22.689540675152188,639.0080243497509,3.1219040550942165,6.45991701196653
0439370,2009000.0,53553.0,LAKE HAVASU CITY CITY,04,015,37918000.0,229000.0,,,,,,,,,1780000.0,11903000.0,21751000.0,,,,,1735000.0,15000.0,,,,405000.0,2109000.0,2017,2010,37.51423823128489,708.0462345713593,3.6247205470814094,6.562509394628459
0441330,533000.0,5533.0,LITCHFIELD PARK CITY,04,013,987000.0,,,,,,444000.0,,,,89000.0,,804000.0,,,,,,,,,,,183000.0,2017,2010,96.33110428339056,178.3842400144587,4.567791260249872,5.183939875517509
0444270,132000.0,41315.0,MARANA TOWN,04,019,49280000.0,,,,,,132000.0,,,,,509000.0,37500000.0,,,,,1179000.0,6000.0,,,,,10086000.0,2017,2010,3.1949655088950744,1192.7871233208277,1.1615762924332231,7.084047968054254
0444410,277000.0,48602.0,MARICOPA CITY,04,021,26207000.0,,,,,,,,,,277000.0,14167000.0,10449000.0,,,,,,,,,,123000.0,1468000.0,2017,2010,5.699353936052014,539.2164931484301,1.740352823864247,6.290117147313579
0446000,28785000.0,471825.0,MESA CITY,04,013,231168000.0,1834000.0,,,,,17539000.0,,,,9412000.0,34675000.0,159735000.0,,,,,3652000.0,490000.0,3541000.0,,,4860000.0,24215000.0,2017,2010,61.00778890478461,489.9443649658242,4.111001542985707,6.194291843772345
0449640,1681000.0,20252.0,NOGALES CITY,04,023,10577000.0,,,,,,1165000.0,,,,516000.0,,9290000.0,,,,,248000.0,,,,,849000.0,190000.0,2017,2010,83.00414773849496,522.2694054908158,4.418890579300953,6.2581835572203905
0453070,115000.0,3046.0,PARKER TOWN,04,012,1315000.0,,,,,,115000.0,,,,,,1199000.0,,,,,54000.0,,,,,49000.0,13000.0,2017,2010,37.75443204202232,431.7137229152988,3.63110287389028,6.067762690138895
